class,risk,usage_count,component,files,duplicate_group,merge_candidates
unread,LOW,0,Unknown,menu.css,,
result-content,HIGH,0,Unknown,analysis-lm.css,,
document-links,HIGH,0,DocumentLinks,analysis-lm.css,,
result-card,HIGH,0,Unknown,analysis-lm.css,,
csv-card,HIGH,0,Unknown,analysis-lm.css,f2b0ca97,document-card
document-card,HIGH,0,DocumentCard,analysis-lm.css,f2b0ca97,csv-card
status-indicator-bar,LOW,0,StatusIndicator,document.css,,
ag-icon-desc,LOW,0,Unknown,document.css,,
status-indicator-icon,HIGH,0,StatusIndicator,document.css,32024a97,spinner
spinner,HIGH,0,StatusIndicator,document.css,32024a97,status-indicator-icon
tab,HIGH,0,TabTab,"tabs.css, document.css",,
status-cancelled,LOW,0,StatusCancelled,document.css,ba1adf60,status-stopped
status-stopped,LOW,0,StatusStopped,document.css,ba1adf60,status-cancelled
status-not-applicable,LOW,0,StatusNotApplicable,document.css,,
ag-icon,HIGH,0,Unknown,document.css,4765c6eb,ag-theme-alpine
ag-icon-filter,LOW,0,Unknown,document.css,,
status-icons,HIGH,0,StatusIcon,styles.css,,
analysis-step,HIGH,0,Unknown,document.css,,
analysis-step-results,HIGH,0,Unknown,document.css,,
ag-icon-asc,LOW,0,Unknown,document.css,,
ag-body-horizontal-scroll,HIGH,0,Unknown,document.css,ef3cf5a1,ag-body-vertical-scroll
